Average Price
37.6832480424
Average Population
1959.88155046
    Time (months)         Fish      Demand       Price
6               7  1668.743519   54.146164  37.399362
7               8  1535.793821   30.759038  37.268321
8               9  1612.664068   17.930643  37.161259
9              10  1638.001488   38.193342  37.589174
10             11  1660.191059   18.371663  39.163473
11             12  1703.582826   47.029036  37.977538
12             13  1700.807726   46.326603  37.998897
13             14  1279.601485   34.214411  37.425399
14             15  1356.861756   46.031799  37.737663
15             16  1455.617631   13.816206  39.614129
16             17  1538.426916   18.374077  35.877223
17             18  1592.161562   24.998822  39.914395
18             19  1649.926794   15.053139  40.096372
19             20  1669.704293   36.562269  39.612149
20             21  1723.400560   30.627669  38.623155
21             22  1736.056145    3.542663  39.647376
22             23  1739.205063  711.488188  38.039535
23             24  1777.601489  -60.602225  38.631673
24             25  1763.683930   19.116448  39.609181
25             26  1702.396417   80.549076  35.470331
26             27  1718.432093   65.297648  39.349880
27             28  1756.009917   26.122561  36.301870
28             29  1741.438457    0.919813  37.336891
29             30  1767.146330   -8.250694  36.388770
30             31  1806.408321   25.762442  36.383334
31             32  1878.636652   63.787369  37.704415
32             33  1879.125943   23.572163  39.685583
33             34  1851.757497   21.435249  36.516517
34             35  1696.897777   50.093375  37.214726
35             36  1757.537188   44.575851  39.870612
36             37  1805.189311   26.143960  56.366687
37             38  1817.965774   56.066500  38.511600
38             39  1848.467083   23.020186  40.545092
39             40  1864.326161   63.163539  40.342802
40             41  2007.230968   24.598205  40.963975
41             42  1960.555936   43.949895  40.100007
42             43  1954.200744   54.103677  40.484733
43             44  1936.705256   45.053669  41.362793
44             45  1945.176937    9.751569  45.470510
45             46  1925.071297   74.849951  48.547333
46             47  1902.909713   55.127929  63.342190
47             48  1896.801431    4.214649  75.281873

Average Price
38.3816036706
Average Population
1725.42145342
    Time (months)         Fish      Demand      Price
0               1  1252.546914   -9.244320  40.000000
1               2  1265.519569   10.850248  39.250452
2               3  1345.377551   42.200483  38.847009
3               4  1430.211110   24.764334  39.356025
4               5  1368.151079    1.751535  39.893432
5               6  1438.561957  -62.485700  44.978899
6               7  1473.292296   32.552699  39.186572
7               8  1538.072476   60.804154  39.819663
8               9  1649.632616   25.887826  32.588729
9              10  1630.382511   47.761611  39.721345
10             11  1643.055620   52.024550  37.736850
11             12  1666.080207    7.051015  39.476576
12             13  1706.179682   33.250026  39.162080
13             14  1701.723140    2.188281  38.388345
14             15  1701.252145  -88.761323  37.323621
15             16  1707.464833    0.529296  36.515442
16             17  1727.837583  -25.899346  38.977343
17             18  1724.321408   34.103266  37.191719
18             19  1742.751404   17.075244  37.645961
19             20  1789.168126   54.664421  38.913747
20             21  1779.190003   37.670150  37.569653
21             22  1813.703219   60.743286  37.115893
22             23  1845.974120   32.949052  38.012026
23             24  1860.348173   49.092502  36.647036
24             25  1814.040107   69.149148  38.779245
25             26  1874.595504   16.636093  39.576972
26             27  1840.498616   45.907829  35.633037
27             28  1855.184042    9.538839  38.648719
28             29  1823.508827   17.444131  37.101053
29             30  1851.380228   49.044787  39.962411
30             31  1827.762995    4.617730  41.575769
31             32  1779.070748  190.447915  37.686239
32             33  1787.259925   49.258438  37.585794
33             34  1831.482523   56.556819  36.955159
34             35  1883.279776   34.432056  39.448342
35             36  1914.338760   52.105590  38.168088
36             37  1967.186194    3.383391  39.965606
37             38  1941.045160  860.797017  40.909190
38             39  1824.486572 -218.891763  38.656305
39             40  1833.174162   34.813889  37.216506
40             41  1792.060359   21.248954  38.607416
41             42  1773.407104   14.738566  39.440232
42             43  1782.408178   49.129042  35.630169
43             44  1760.962421   42.755149  38.343159
44             45  1802.515528    1.105976  37.015631
45             46  1764.303299  -30.025943  36.907301
46             47  1832.914384   41.611776  36.985521
47             48  1862.566610   58.316056  37.200695

Average Price
38.4314784162
Average Population
1796.06683368
    Time (months)         Fish      Demand      Price
0               1  1256.550166   -2.076226  40.000000
1               2  1156.671687    1.825645  39.185353
2               3  1266.353966  -70.835072  39.664832
3               4  1368.445992   15.804957  35.574664
4               5  1472.446225   16.318583  38.622744
5               6  1539.577345   37.038813  38.615686
6               7  1627.064633    8.318169  38.816961
7               8  1692.257144   43.155861  37.665814
8               9  1793.336706   27.782222  38.162862
9              10  1811.666978    8.600299  38.558539
10             11  1808.245802    2.136154  38.291294
11             12  1845.292644  -81.514366  39.373497
12             13  1863.507806   12.073696  38.557178
13             14  1859.877612   29.463855  37.895374
14             15  1886.909619   19.115158  37.491845
15             16  1904.816811   38.577705  36.703817
16             17  1922.212458   31.591066  39.583732
17             18  1924.806263   21.171516  37.839945
18             19  1936.900815   54.793223  37.796595
19             20  1920.151152   22.068342  39.706775
20             21  1913.352607   20.911158  38.069960
21             22  1916.379484   13.888430  36.783471
22             23  1892.419778   53.902143  38.823028
23             24  1911.251094    6.750190  37.035997
24             25  2041.694404   77.653551  38.320369
25             26  2019.347260   16.573509  37.333022
26             27  1942.447729   70.385767  36.856918
27             28  1953.588734   28.184943  39.870235
28             29  1926.734631   39.157893  50.644112
29             30  1871.109405   12.298872  39.123458
30             31  1881.762261   43.498870  39.714823
31             32  1754.544168   24.035198  33.858957
32             33  1759.709257   14.709399  38.306915
33             34  1750.624399   40.556054  37.628584
34             35  1771.949606   13.409285  38.991704
35             36  1732.586961   66.522172  36.464449
36             37  1767.315742   32.215663  39.357025
37             38  1816.252178   20.746545  37.618553
38             39  1793.471059   11.992691  37.859355
39             40  1826.583567   80.125595  39.440806
40             41  1865.995796   38.530824  38.483687
41             42  1902.325638   13.096167  38.093895
42             43  1921.140330    2.794698  38.067673
43             44  1902.157947 -513.333714  38.604595
44             45  1902.032571   16.396685  37.066568
45             46  1886.426724   16.221140  38.337186
46             47  1851.843892   64.830708  36.821998
47             48  1879.068969   38.764549  39.026113

Average Price
38.5182783038
Average Population
1778.8969644
    Time (months)         Fish      Demand      Price
0               1  1250.987452   -8.342289  40.000000
1               2  1279.535790    2.251045  38.902564
2               3  1374.154768  -67.937338  37.944569
3               4  1462.907920   15.156060  37.647449
4               5  1556.308768   27.834422  37.973454
5               6  1609.378554   45.645871  37.776135
6               7  1669.314477   16.119678  38.821605
7               8  1916.400118   73.027843  37.294674
8               9  1921.215315   18.106925  39.410940
9              10  1939.194199   66.477742  39.156505
10             11  1928.093209   35.692912  39.929968
11             12  1871.196260   33.448527  41.560719
12             13  1879.177777   66.499994  37.897791
13             14  1861.657084   46.641197  36.588121
14             15  1824.651064   68.823580  37.059032
15             16  1745.577479    7.581641  38.437000
16             17  1768.980088    7.592341  38.904408
17             18  1798.674470    1.525794  38.795469
18             19  1804.451128  -39.427488  37.460495
19             20  1840.224418   23.916152  38.511241
20             21  1800.117245   44.190365  38.438093
21             22  1816.539900   60.913094  38.656515
22             23  1812.687178   67.902307  39.621344
23             24  1792.965011   60.798173  37.368045
24             25  1809.077511    2.738187  37.936575
25             26  1787.566442 -353.811992  35.993272
26             27  1855.544767    9.869225  38.132419
27             28  1780.876669   74.358666  38.481305
28             29  1785.893851   36.856603  39.416580
29             30  1791.670601   25.989713  39.182890
30             31  1835.595500   67.739197  36.539287
31             32  1861.967161   44.809125  38.142698
32             33  1877.527492   23.632046  38.396098
33             34  1873.900052   70.620567  36.908768
34             35  1856.727086   36.524357  38.981004
35             36  1826.749905    1.665709  39.870909
36             37  1851.356500  -45.355001  40.783548
37             38  1764.700044   23.820775  39.700794
38             39  1774.129640   70.687646  38.094878
39             40  1782.326596   51.000742  39.064534
40             41  1871.935713    7.824269  38.579885
41             42  1831.650298   78.628913  38.887778
42             43  1820.674137   10.066803  38.941517
43             44  1840.199110   68.644821  38.425680
44             45  1869.800283    1.339639  38.645243
45             46  1848.655365  -56.197607  38.567802
46             47  1829.355055   37.255909  37.910686
47             48  1834.784841   17.884642  39.137073
